Pipeline Name,Shipper Name,Expiration Date,Max Quantity,Receipt Points,Delivery Points
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",PATRIOTS ENERGY GROUP,03/31/2033,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",PATRIOTS ENERGY GROUP,03/31/2064,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",PATRIOTS ENERGY GROUP,03/31/2035,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","PRATT INDUSTRIES (USA) MILL DIVISION D/B/A VISY PAPER, INC.",10/31/2015,4500,"[('VISY PAPER M7372', 4500)]","[('STA 85 POOL ZN4', 4500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",PSEG ENERGY RESOURCES & TRADE LLC,11/01/2021,72450,"[('PUBLIC SERVICE E&G', 72450)]","[('RIVERVALE', 72450)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",REYNOLDS CONSUMER PRODUCTS LLC,10/30/2028,575,"[('EMPORIA WALDROP', 575)]","[('STA 165 POOL ZN5', 575)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",SANTEE COOPER,10/31/2031,80000,"[('SAVANNAH M7374', 80000)]","[('STA 85 POOL ZN4', 80000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",SOUTH ALABAMA GAS DISTRICT,10/30/2013,1532,"[('GAS AUTHORITY', 1532)]","[('STA 30 POOL ZN1', 260), ('STA 45 POOL ZN2', 384), ('STA 50 POOL ZN3', 291), ('STA 62 POOL ZN3', 597)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",10/31/2015,40000,"[('DAHLBERG - YATES', 40000)]","[('STA 85 POOL ZN4', 40000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",04/30/2017,140000,"[('WANSLEY CC', 140000)]","[('SHUBUTA-DESTIN M3576', 140000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",04/30/2018,31500,"[('PARK ROAD / CLEVELAND', 31500)]","[('STA 65 POOL ZN3', 3000), ('SHUBUTA-DESTIN M3576', 28500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",04/30/2018,80000,"[('SAVANNAH M7374', 80000)]","[('SHUBUTA-DESTIN M3576', 80000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",04/30/2026,125000,"[('CODEN-GS M4596', 125000)]","[('STA 85 POOL ZN4A', 125000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",04/30/2026,43500,"[('PARK ROAD / CLEVELAND', 43500)]","[('STA 85 POOL ZN4', 43500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",05/31/2023,130000,"[('GASTON / CENT AL - MULBERRY', 130000)]","[('STA 85 POOL ZN4', 130000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",03/31/2030,200000,"[('BAY GAS STG', 200000)]","[('STA 85 POOL ZN4A', 200000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",10/05/2033,60000,"[('STA 85 POOL ZN4', 60000)]","[('GRUGAN M3623', 60000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",10/05/2033,50000,"[('STA 85 POOL ZN4', 50000)]","[('PUDDLEFIELD A', 50000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",10/05/2033,120000,"[('STA 85 POOL ZN4', 120000)]","[('CHAPIN A', 55000), ('TOMBS RUN M3610', 65000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",10/05/2033,50000,"[('STA 85 POOL ZN4', 50000)]","[('CHAPIN A', 23000), ('TOMBS RUN M3610', 27000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","SOUTHERN COMPANY SERVICES, INC. AS AGENT FOR GEORGIA POWER COMPANY, ALABAMA POWER COMPANY, MISSISSIPPI POWER COMPANY AND SOUTHERN POWER COMPANY",03/31/2040,150000,"[('GASTON / CENT AL - MULBERRY', 150000)]","[('PETAL GAS', 50000), ('STA 85 POOL ZN4', 100000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",SOUTHERN CONNECTICUT GAS CO,05/31/2008,1457,"[('ALGONQUIN-CTR M4402', 1457)]","[('WHARTON-NAT FUEL', 1457)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",SYLACAUGA UTILITIES BOARD,10/31/2015,4000,"[('SYLACAUGA M7373', 4000)]","[('STA 85 POOL ZN4', 4000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",SYLACAUGA UTILITIES BOARD,04/30/2018,6000,"[('SYLACAUGA M7373', 6000)]","[('SHUBUTA-DESTIN M3576', 6000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,05/14/2030,353700,"[('ROCKAWAY FBF-BUG', 353700)]","[('ROCKAWAY TRANSFER', 353700)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,12/31/2013,3250,"[('BROOKLYN UNION', 3250)]","[('WHARTON-NAT FUEL', 3250)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,03/19/1998,1969,"[('BROOKLYN UNION', 1969)]","[('STA 45 POOL ZN2', 493), ('STA 50 POOL ZN3', 374), ('STA 62 POOL ZN3', 768), ('STA 65 POOL ZN3', 334)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,05/31/2016,245955,"[('STA 65 POOL ZN3', 1655), ('BROOKLYN UNION', 245955)]","[('STA 45 POOL ZN2', 61489), ('STA 50 POOL ZN3', 46731), ('STA 62 POOL ZN3', 95923), ('STA 65 POOL ZN3', 41812), ('WASHINGTON STG TRANS', 1655)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,12/13/2009,50075,"[('BROOKLYN UNION', 50075)]","[('LEIDY-DOMINION', 50075)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,07/30/2011,4244,"[('STA 65 POOL ZN3', 1655), ('BROOKLYN UNION', 4244)]","[('STA 30 POOL ZN1', 721), ('STA 45 POOL ZN2', 1062), ('STA 50 POOL ZN3', 806), ('STA 62 POOL ZN3', 1655), ('WASHINGTON STG TRANS', 1655)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,10/30/2012,10688,"[('LEIDY-DOMINION', 10688)]","[('CPH UTOS TGPL', 10457), ('CPH M/L 469.41', 231)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,03/31/2013,13945,"[('BROOKLYN UNION', 13945)]","[('LEIDY-DOMINION', 13945)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,05/14/2030,100000,"[('ROCKAWAY TRANSFER', 100000)]","[('CPH M/L 1674.555', 100000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,10/05/2032,115000,"[('CLIFTON - BUG', 50000), ('ROCKAWAY TRANSFER', 65000)]","[('CPH M/L 1674.555', 115000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,11/18/2024,10000,"[('CONSOLIDATED EDISON', 10000)]","[('PLEASANT VALLEY', 10000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,04/15/2001,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",THE BROOKLYN UNION GAS COMPANY D/B/A NATIONAL GRID NY,03/31/2026,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","THE WATER, SEWER, AND GAS BOARD OF THE TOWN OF WEDOWEE",10/30/2013,113,"[('GAS AUTHORITY', 113)]","[('STA 30 POOL ZN1', 20), ('STA 45 POOL ZN2', 27), ('STA 50 POOL ZN3', 21), ('STA 62 POOL ZN3', 45)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","THE WATER, SEWER, AND GAS BOARD OF THE TOWN OF WEDOWEE",03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TOWN OF LIBERTY MS,03/31/2001,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TOWN OF LIBERTY MS,12/30/2001,295,"[('LIBERTY CITY M7032', 295)]","[('STA 30 POOL ZN1', 50), ('STA 45 POOL ZN2', 74), ('STA 50 POOL ZN3', 56), ('STA 62 POOL ZN3', 115)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TOWN OF LIBERTY MS,10/30/2013,409,"[('LIBERTY CITY M7032', 409)]","[('STA 30 POOL ZN1', 69), ('STA 45 POOL ZN2', 103), ('STA 50 POOL ZN3', 78), ('STA 62 POOL ZN3', 159)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","TOWN OF ROCKFORD, ALABAMA",10/30/2013,105,"[('GAS AUTHORITY', 105)]","[('STA 30 POOL ZN1', 18), ('STA 45 POOL ZN2', 27), ('STA 50 POOL ZN3', 20), ('STA 62 POOL ZN3', 40)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TOWN OF WADLEY ALABAMA,10/30/2013,285,"[('GAS AUTHORITY', 285)]","[('STA 30 POOL ZN1', 49), ('STA 45 POOL ZN2', 71), ('STA 50 POOL ZN3', 54), ('STA 62 POOL ZN3', 111)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TOWN OF WINNSBORO,10/31/2017,349,"[('CAROLINA GAS', 349)]","[('STA 65 POOL ZN3', 305), ('STA 85 POOL ZN4', 44)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TRI-COUNTY NATURAL GAS COMPANY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TYSON FOODS INC.,08/28/2007,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",TYSON FOODS INC.,08/31/2004,2000,"[('PIEDMONT', 2000)]","[('STA 30 POOL ZN1', 340), ('STA 45 POOL ZN2', 500), ('STA 50 POOL ZN3', 380), ('STA 62 POOL ZN3', 780)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",10/31/2018,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2018,10712,"[('STA 65 POOL ZN3', 121), ('UGI', 10712)]","[('STA 30 POOL ZN1', 1822), ('STA 45 POOL ZN2', 2678), ('STA 50 POOL ZN3', 2035), ('STA 62 POOL ZN3', 4177), ('WASHINGTON STG TRANS', 121)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2025,3416,"[('UGI', 3416)]","[('STA 30 POOL ZN1', 581), ('STA 45 POOL ZN2', 854), ('STA 50 POOL ZN3', 649), ('STA 62 POOL ZN3', 1332)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",07/31/2026,311,"[('STA 65 POOL ZN3', 121), ('UGI', 311)]","[('STA 30 POOL ZN1', 53), ('STA 45 POOL ZN2', 78), ('STA 50 POOL ZN3', 59), ('STA 62 POOL ZN3', 121), ('WASHINGTON STG TRANS', 121)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",10/30/2012,4566,"[('LEIDY-DOMINION', 4566)]","[('CPH M/L MP 446.41', 4468), ('CPH M/L 469.41', 98)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/30/2016,828,"[('UGI', 828)]","[('STA 30 POOL ZN1', 141), ('STA 45 POOL ZN2', 207), ('STA 50 POOL ZN3', 157), ('STA 62 POOL ZN3', 323)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",10/31/2027,500,"[('UGI', 500)]","[('LEIDY-DOMINION', 500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2025,1500,"[('UGI', 1500)]","[('WHARTON-N PENN M6174', 1500)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",07/31/2024,12279,"[('UGI', 12279)]","[('STA 30 POOL ZN1', 2087), ('STA 45 POOL ZN2', 3071), ('STA 50 POOL ZN3', 2333), ('STA 62 POOL ZN3', 4788)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2025,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","UGI UTILITIES, INC.",03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,03/31/2022,1811,"[('WASHINGTON GAS', 1811)]","[('STA 30 POOL ZN1', 307), ('STA 45 POOL ZN2', 453), ('STA 50 POOL ZN3', 344), ('STA 62 POOL ZN3', 707)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,11/30/2034,2425,"[('LEIDY-DOMINION', 2425)]","[('CPH M/L MP 446.41', 2372), ('CPH M/L 469.41', 53)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,03/31/2022,6469,"[('CPH M/L 1599.67 COL GAS', 6469)]","[('STA 45 POOL ZN2', 1616), ('STA 50 POOL ZN3', 1230), ('STA 62 POOL ZN3', 3623)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,03/31/2022,61583,"[('WASHINGTON GAS', 56925), ('FREDERICK GAS', 4658)]","[('STA 30 POOL ZN1', 10469), ('STA 45 POOL ZN2', 15396), ('STA 50 POOL ZN3', 11701), ('STA 62 POOL ZN3', 24017)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,11/06/2027,100000,"[('FREDERICK GAS', 100000)]","[('CASCADE CREEK', 80000), ('PINE NEEDLE I/C', 20000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,10/31/2020,25000,"[('CPH BULL RUN', 25000)]","[('STA 210 POOL ZN6', 25000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,11/30/2034,165000,"[('STA 85 POOL ZN4', 165000)]","[('GRUGAN M3623', 165000)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WASHINGTON GAS LIGHT COMPANY,03/31/2028,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WESTLAWN GOM ASSET 4 HOLDCO LLC,10/31/2040,11945,"[('STA 85 POOL ZN4A', 11945)]","[('WHO DAT M2920', 11945)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WESTROCK CP LLC,10/31/2017,0,[],[]
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WESTROCK CP LLC,10/31/2017,631,"[('CAROLINA GAS', 631)]","[('STA 65 POOL ZN3', 631), ('STA 85 POOL ZN4', 0)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",YANKEE GAS SERVICES COMPANY,05/31/2008,1797,"[('ALGONQUIN-CTR M4402', 1797)]","[('WHARTON-NAT FUEL', 1797)]"
"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",YORK COUNTY NATURAL GAS AUTHORITY,10/30/2013,683,"[('BLACKSBURG', 683)]","[('STA 30 POOL ZN1', 116), ('STA 45 POOL ZN2', 171), ('STA 50 POOL ZN3', 130), ('STA 62 POOL ZN3', 266)]"
